ID,Name,Type,Link,Status,DueDate,Comments,Flagged,FlagNote,SuggestedReopenDate,Description
34,APIA Scholars Program,Scholarship,https://urldefense.proofpoint.com/v2/url?u=https-3A__apiascholars.org_scholarship_apia-2Dscholarship_&d=DwMFaQ&c=tfV1y7VjMpp2c1x3NJOKE90M8g-mEaV1iV68RN7jMhE&r=rtFfBYOc7PioB5qZrvJx1XUZnEdL7fDwZWy4HZ7G_KM&m=yUu8uM1VLXErTniAcLxPQwDIBFtRkYzvstGJCtnZBQEr1dYHZzMaS756k4lB5eLe&s=vQttYOLiViNKy0-UC60lBYGH6BbQEPqIDA62ftEEIjg&e=,Close,2026-01-15,"Scheduled: fall 26. Amount: $2500 - $20,000.",false,,,"APIA Scholars supports Asian American and Pacific Islander students with financial need, offering awards ranging from $2,500 to $20,000 to help cover the cost of an undergraduate education."
35,HACU Scholarship Program,Scholarship,https://hacu.net/programs/hacu-scholarship-program/,Close,2026-05-31,Amount: $2k - $5k. 3 Scholarships open - Please visit website to see what scholarships are open,false,,,"The Hispanic Association of Colleges and Universities (HACU) Scholarship Program awards $2,000 to $5,000 to Hispanic and other underrepresented students to help fund their college education — multiple scholarship tracks are open on a rolling basis, so it's worth checking the website for which ones are currently accepting applications."
36,GMiS California Health Sciences Scholarships,Scholarship,https://greatmindsinstem.org/gmis-scholarship-application/gmis-scholarships/california-health-sciences-scholarships/,Close,,"Amount: $1,000.00.",false,,,"Great Minds in STEM's California Health Sciences Scholarship provides $1,000 to students pursuing a career in the health sciences field."
37,Artemio. G. Navarro Scholarships,Scholarship,https://greatmindsinstem.org/gmis-scholarship-application/gmis-scholarships/artemio-g-navarro-scholarships-administered-by-gmis/,Close,,"Amount: $2,000.00.",false,,,"Administered by Great Minds in STEM, the Artemio G. Navarro Scholarship awards $2,000 to support Hispanic students pursuing STEM degrees, honoring Navarro's legacy of engineering leadership."
38,GMiS STEM Scholarships,Scholarship,https://gmis-scholars.org/,Close,2026-05-08,Amount: $500 - $5000.,false,,,"Great Minds in STEM's general STEM Scholarship program awards between $500 and $5,000 to Hispanic students pursuing degrees in science, technology, engineering, or math."
39,GMiS California Medical Scholarships/Fellowships,Scholarship,https://greatmindsinstem.org/gmis-scholarship-application/gmis-scholarships/california-medical-scholarships/,Close,,"Amount: $1,000-$3,000.",false,,,"Great Minds in STEM's California Medical Scholarship provides $1,000 to $3,000 to students pursuing careers in medicine."
40,Elevate Tutoring Fellowship Program,Scholarship,https://elevatetutoring.org/apply-for-fellowship/,Close,2026-06-17,"Amount: $8,000.00.",false,,,"The Elevate Tutoring Fellowship awards $8,000 to students who commit to tutoring underserved K-12 students while pursuing their own degree, combining financial support with a meaningful community service role."
41,Jim McEntee Legacy Scholarship,Scholarship,http://www.friendsofhumanrelations.org/scholarships/,Close,2026-05-10,"Amount: $2,000.00.",false,,,"The Jim McEntee Legacy Scholarship awards $2,000 in honor of McEntee's decades of human relations and social justice work in Santa Clara County, supporting students who share that commitment to community service."
42,Silicon Valley Community Foundation Scholarships,Scholarship,https://applysvcfscholarships.communityforce.com/,Close,2026-02-28,"Amount: $6,000.00. The SVCF offers 22 scholarship opportunities. Students must complete a general application, which will match the scholarships they qualify for.",false,,,"Silicon Valley Community Foundation offers 22 different scholarship funds worth up to $6,000, matched to each applicant through a single general application — a strong one-stop option for students who may qualify for multiple awards at once."
43,Mission College Promise Program,Scholarship,https://missioncollege.edu/financial-aid/scholarships.html,Close,2026-11-06,"Amount: $1,000 to $5,000.",false,,,"Mission College's own Promise Program awards $1,000 to $5,000 directly to Mission College students, funded and administered by the college to help cover continuing students' education costs."
44,The Community College League of California,Scholarship,https://rcc.academicworks.com/opportunities,Close,,"Amount: $1,000.00.",false,,,"The Community College League of California awards $1,000 scholarships to community college students across the state through its academicworks portal."
45,The Western Digital Scholarship Program,Scholarship,https://learnmore.scholarsapply.org/westerndigital-stem/,Close,2026-04-01,"Amount: $5,000.00.",false,,,"Western Digital's STEM Scholarship Program awards $5,000 to students pursuing degrees in engineering, computer science, or related technical fields."
46,Young Professionals in Energy (YPE) SF Bay Area Scholarship Program,Scholarship,https://www.ypesfbayarea.org/aboutthescholarship,Close,,"Amount: $2,500.00.",false,,,"The Young Professionals in Energy (YPE) SF Bay Area Scholarship awards $2,500 to students pursuing a career in the energy sector."
47,UCSC Pister Scholarship,Scholarship,https://honors.ucsc.edu/scholarships/pister-scholars/apply.html,Close,,"Amount: $20,000.00. Students transferring to UCSC will automatically be considered if they complete their FASFA and/or CADAA",false,,,"The UCSC Pister Scholarship offers a generous $20,000 to students transferring into UC Santa Cruz — students who complete their FAFSA or CADAA are automatically considered, with no separate application required."
48,SVEC College Scholarship,Scholarship,https://svec-ca.org,Close,,"Amount: $1,000.00. Application Form",false,,,"The Silicon Valley Engineering Council (SVEC) College Scholarship awards $1,000 to students pursuing engineering degrees in the South Bay."
49,The San Juan Diego Scholarship,Scholarship,https://sacredheartjesuschurch.org/beca-san-juan-diego/,Close,2026-01-09,Please e-mail BecaSJD@gmail.com with your application and supporting documents,false,,,
50,ScholarSHPE,Scholarship,https://shpe.org/engage/programs/scholarshpe/,Close,2026-02-16,Further details on webside,false,,,
51,NASA Community College Scolars (NCAS),Scholarship,https://www.nasa.gov/learning-resources/nasa-community-college-aerospace-scholars/,Close,,,false,,,
52,LGBTQIA+ Community College Scholarship,Scholarship,https://pointfoundation.org/scholarships/community-college,Close,2026-04-09,"Amount: $2,400 per semester or $4,800 per academic year..",false,,,"The Point Foundation's LGBTQIA+ Community College Scholarship provides $2,400 per semester (up to $4,800 per year) to LGBTQIA+ community college students, along with mentorship support."
53,Jack Kent Cooke Foundation — Undergraduate Transfer Scholarship,Scholarship,https://www.jkcf.org/our-scholarships/undergraduate-transfer-scholarship/,Close,2026-12-09,"Amount: up to $55,000/year for up to 3 years. Application period: Aug 19 – Dec 9, 2026.",false,,2026-08-19,"The Jack Kent Cooke Foundation's Undergraduate Transfer Scholarship offers up to an impressive $55,000 a year, for up to three years, to the nation's top community college students transferring to complete their bachelor's degree at a selective four-year college or university — empowering Scholars to graduate with as little debt as possible."
54,AAUW Annual Local Scholarship Program,Scholarship,https://sanjose-ca.aauw.net/local-scholarship-application-information/,Close,2026-04-15,,false,,,
55,The National Rainbow College Fund Scholarship,Scholarship,https://rainbowcollegefund.org/scholarship-program/,Close,2026-03-04,,false,,,
56,SVP Sustainable Futures Scholarship,Scholarship,Keep an eye out for info from Counselor Theresa Tran,Close,,"Amount: $2,000.00. Continuing or transferring MC students",false,,,"The SVP Sustainable Futures Scholarship awards $2,000 to continuing or transferring Mission College students pursuing sustainability-related fields — keep an eye out for updates from Counselor Theresa Tran on this one."
57,eQuality Scholarship Collaborative,Scholarship,https://www.equalityscholarship.org/Apply,Close,2026-01-31,service to the LGBTQIA+ community,false,,,
58,CISAO Scholarship,Scholarship,https://cisoa.org/scholarship/,Close,2026-03-31,"Amount: $1,500.00.",false,,,"The CISOA Scholarship awards $1,500 to support students pursuing careers in the building and construction trades."
59,Health Education for Latinos Program (IME Becas),Scholarship,https://www.help-fund.net/scholarships,On Hold,,more info to come - sent inquiry,true,No due date listed on import — please verify and update.,,
60,ILEW Scholarship,Scholarship,https://ilew.online/scholarships/,Close,2025-06-27,,false,,,
61,SWE Scholarship,Scholarship,https://swe.org/apply-for-a-swe-scholarship/,Close,2026-02-02,,false,,,
62,Santa Clara Valley SWE Scholarship,Scholarship,https://www.scvswe.org/scholarship-application,Close,2026-02-28,,false,,,
63,Chicana Latina Foundation,Scholarship,https://chicanalatina.org/programs/scholarships/,Close,2026-03-31,,false,,,
64,PG&E Better Together STEM Scholarship,Scholarship,https://www.pge.com/en/about/educational-resources/grants-and-scholarships.html#tabs-6309b4b92d-item-77f60d11c6-tab,Close,2026-02-28,,false,,,
65,NorCal AEE 2026 Scholarship,Scholarship,https://forms.gle/suibSJK3J9neBpta6,Close,2026-04-19,,false,,,
66,"10,000 Degrees Scholarship",Scholarship,https://10000degrees.org/students-alumni/scholarships/,Close,2026-06-30,must complete FAFSA,false,,,
67,Community Roots Scholarship,Scholarship,https://apply.mykaleidoscope.com/program/AirDistrictCommunityRoots2026,Open,2026-08-24,All major,false,,,"A scholarship from the Bay Area Air District supporting students from communities affected by air pollution who are pursuing education related to environmental health, science, or community advocacy. Specific award amounts aren't published on the site — worth confirming directly before advising students."
